,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
0,0WpRF4X2LyMTZnqqrXX19U,Get Jinxed,League of Legends,['League of Legends'],0.434,0.884,7,-7.128,0,0.000728,0.00458,0.105,0.191,180.029,154960,4,114,6,548
1,3V2cgvvI483DKomiZBYsAA,Bangarang (feat. Sirah),Skrillex,"['Skrillex', 'Sirah']",0.716,0.972,7,-2.302,1,0.0145,3.22e-05,0.317,0.576,110.026,215253,4,99,10,1098
2,3Te8uLyit6X3ncNW8Fp3K2,Immortals,Fall Out Boy,['Fall Out Boy'],0.616,0.868,2,-3.606,1,0.00131,1.54e-06,0.671,0.475,108.016,189387,4,83,9,629
3,64lsIF5pw0sJY0gV5kz0RN,Can I Call You Tonight?,Dayglow,['Dayglow'],0.641,0.842,9,-7.27,1,0.132,0.91,0.419,0.5,129.98,278769,4,148,12,1027
4,1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,Gorillaz,['Gorillaz'],0.676,0.703,8,-5.815,0,0.0869,0.000687,0.0463,0.852,92.761,200173,4,76,8,701
5,6zVlVsPsDPdivbwfHE1ivu,Amylase,Cajun Dance Party,['Cajun Dance Party'],0.0994,0.947,5,-1.777,1,0.000577,9.09e-05,0.134,0.342,160.871,221507,4,145,8,583
6,32zkKx35Et6A515oZKxDkD,Life Itself,Glass Animals,['Glass Animals'],0.699,0.67,1,-6.219,1,0.0147,0.22,0.356,0.556,111.988,281407,4,128,10,1114
7,2Wd8OkULm6EDK8cqPJaNjp,Erika,Die lustigen Vagabunden,['Die lustigen Vagabunden'],0.637,0.344,8,-9.093,1,0.0477,0.83,0.0622,0.513,128.639,181293,3,125,8,555
8,0AQquaENerGps8BQmbPw14,Big Iron,Marty Robbins,['Marty Robbins'],0.726,0.474,1,-7.834,0,0.803,0.0,0.258,0.57,116.027,235733,4,113,12,898
9,1a3M9MU7mmhQerLzHSGD3w,My Beautiful Fantasy,Phuture Noize,"['Phuture Noize', 'B-Front']",0.319,0.865,2,-2.528,0,0.132,0.0,0.152,0.0845,155.174,192015,4,123,8,562
10,01xdiGuSuIf5qZulm1uqkY,Feel It!,D-Block & S-te-Fan,"['D-Block & S-te-Fan', 'D-Sturb']",0.459,0.941,9,-2.053,0,0.0191,0.0,0.371,0.399,155.023,236903,4,152,12,821
11,3tvFbMS6E3mk6KY3hJn3Ht,Danse Macabre - Kan Takahiko Remix,Naeleck,"['Naeleck', 'Oddity']",0.635,0.933,0,-4.264,1,0.00678,0.0236,0.343,0.151,150.06,267200,4,164,11,1023
12,6AQpd05OyowTvtO7I3BdBU,Mellow,Showtek,"['Showtek', 'Technoboy', 'Tuneboy']",0.565,0.873,11,-2.973,0,0.045,0.0898,0.0898,0.41,149.995,169839,4,100,9,567
13,40PNoHlTWzatS0dbhah6AW,Inception,Coone,"['Coone', 'Sound Rush']",0.57,0.929,11,-4.207,0,0.00967,0.0,0.223,0.373,75.019,199200,4,61,10,666
14,3ppJijBGMSBnz45elmwh5V,Primal Energy (Defqon.1 2020 Anthem),D-Block & S-te-Fan,['D-Block & S-te-Fan'],0.297,0.935,11,-2.188,0,0.0251,1.04e-05,0.157,0.147,112.603,316800,3,209,16,981
15,0N4QGYBSaeRwmo4pxuEG0x,No Paradise,Warface,['Warface'],0.498,0.936,11,-4.479,0,0.00507,2.84e-06,0.12,0.334,154.872,241548,4,152,11,873
16,26aTIeF87ZP7IprFP3vqbi,Shake The Ground,Wildstylez,"['Wildstylez', 'Noubya']",0.34,0.933,9,-4.564,0,0.00445,0.000227,0.151,0.137,149.977,213200,4,103,11,816
17,6L7BrqLNMQkVWyXEOYBuMX,Motivation,NICKYP,['NICKYP'],0.335,0.878,4,-4.239,0,0.00262,0.000169,0.209,0.278,149.912,184000,4,113,9,593
18,2ybm6gECxGAXmmsoNUtgLc,All Or Nothing,Atmozfears,"['Atmozfears', 'Code Black', 'Toneshifterz']",0.518,0.846,11,-3.717,0,0.00904,1.18e-06,0.12,0.249,149.947,168135,4,100,9,531
19,2jkoanGKXN9I3gfeYo4aph,Toss A Coin To Your Witcher,Coone,"['Coone', 'Da Tweekaz', 'Hard Driver', 'Bram Boender']",0.268,0.867,10,-4.439,0,0.0171,0.0,0.108,0.301,149.953,252800,4,145,13,861
20,3QeEf7TMugwZkmn0hPmXio,Harder State Of Mind,D-Block & S-te-Fan,"['D-Block & S-te-Fan', 'DJ Isaac']",0.515,0.94,9,-2.452,0,0.0044,1.06e-05,0.23,0.284,150.051,236800,4,145,9,841
21,7aKme0bvekUFoMI0cHGIRk,Fine Day,Coone,"['Coone', 'Brennan Heart']",0.502,0.956,1,-4.445,0,0.0772,0.00194,0.0455,0.266,150.018,236800,4,144,8,874
